動作名稱,器材,重點部位,準備工作,動作要領,關鍵提示
腕彎舉 -槓鈴,槓鈴,手臂：前臂,"Sit on a bench and rest your forearms on the thighs with the wrists ahead of the knees.
Hold the barbell in both hands with an underhand grip.
","1. ﻿﻿Exhale and curl your wrists up.
2. ﻿﻿Pause for a few seconds at the top position.
3. ﻿﻿Inhale and return to the starting position and repeat.","1. Keep your thighs and forearms parallel to the floor.
2. Keep your elbows and wrists at the same height during the exercise."
踏板上站姿提腫 -槓鈴,槓鈴,腿部：小腿肌,"Stand and hold the barbell on your shoulders with palms facing forward. Place the toes and the balls of your feet shoulder width apart onto a platform.
","1. ﻿﻿Elevate your heels slowly as high as possible.
2. ﻿﻿Pause at the top for a few seconds, return to the starting position slowly and repeat.","1. ﻿﻿Keep your head, spine and neck in line.
2. ﻿﻿Keep a straight back and braced core during the exercise."
臀橋 (雙腳置於板凳上) -槓鈴,槓鈴,腿部：臀肌,"Lie with knees bent and heels on the bench.
Hold a bar in a wide overhand grip and place it over the crease of your hips.
","1. ﻿﻿Press your heels to lift hips up until your body forms a straight line from your shoulders to your knees.
2. ﻿﻿Hold for a few seconds at the top position.
3. ﻿﻿Lower back to the starting position and repeat.
","1. Do not allow your knees fall inward or outward.
2. Keep a straight back and braced core during the exercise."
臀橋 -槓鈴,槓鈴,腿部：臀肌,"Lie with knees bent and feet on the floor. Hold a bar in a wide overhand grip and place it over the crease of your hips.
","1.  Press your heels to lift hips up until your body forms a straight line from your shoulders to your knees.
2. Hold for a few seconds at the top position.
3. Lower back to the starting position and repeat.","1. Do not allow your knees fall inward or outward.
2. ﻿﻿Squeeze your glutes when lifting your hips.
3. ﻿﻿Keep a straight back and braced core during the exercise."
臀推 -槓鈴,槓鈴,腿部：臀肌,"Sit with your upper back against the bench and feet flat on the floor. Lift your hips slightly off the floor and hold the barbell in an overhand grip on the crease of your hips.
","1. Push your hips upwards and raise the bar until your thighs are parallel to the floor.
2. Squeeze your glutes and hold for a few seconds at the top position.
Slowly lower the bar to the starting position and repeat.","1. Do not allow your knees fall inward or outward.
2. ﻿﻿Do not contact your glutes with the floor during the exercise.
3. ﻿﻿Keep a straight back and braced core during the exercise."
挺舉上推 -槓鈴,槓鈴,全身,"Squat down with feet shoulder width apart and hold the bar with hands shoulder width apart in an overhand grip.
動作要領
1. ﻿﻿Drive your hips up and straighten your legs to pull the barbell up.
2. ﻿﻿Once the bar passes your mid-thigh, jump slightly and drop your body under the bar with your elbows facing forward and palms facing up.
3. ﻿﻿As you receive the bar, slightly bend your knees.
4. ﻿﻿Press the bar overhead until your arms are straight and then stand up straight.
5. ﻿﻿Lower the bar to the starting position and repeat.
關鍵提示
1. ﻿﻿To add difficulty, add weights gradually.
2. ﻿﻿Keep your knees and elbows slightly bent during the exercise.
3. ﻿﻿Keep a straight back and braced core during the exercise.","1. ﻿﻿Drive your hips up and straighten your legs to pull the barbell up.
2. ﻿﻿Once the bar passes your mid-thigh, jump slightly and drop your body under the bar with your elbows facing forward and palms facing up.
3. ﻿﻿As you receive the bar, slightly bend your knees.
4. ﻿﻿Press the bar overhead until your arms are straight and then stand up straight.
5. ﻿﻿Lower the bar to the starting position and repeat","1. ﻿﻿To add difficulty, add weights gradually.
2. ﻿﻿Keep your knees and elbows slightly bent during the exercise.
3. ﻿﻿Keep a straight back and braced core during the exercise."
挺舉 -槓鈴,槓鈴,全身,"Squat down with feet shoulder width apart.
Hold the bar with hands shoulder width apart in an overhand grip in front of the middle of your shins.","1. Drive your hips up and straighten your legs to pull the barbell up.
Once the bar passes your mid-thigh, jump slightly and drop your body under the bar with your elbows facing forward and palms facing up.
2. ﻿﻿As you receive the bar, lower your hips to a front squat position.
3. ﻿﻿Brace you core and drive through your feet to stand up straight.
4. ﻿﻿Lower the bar to the starting position and repeat.
","1. ﻿﻿Do not let your knees go over your toes when you squat.
2. ﻿﻿To add difficulty, add weights gradually.
3. ﻿﻿Keep your knees and elbows slightly bent during the exercise.
4. ﻿﻿Keep a straight back and braced core during the exercise."
聳肩 -槓鈴,槓鈴,背部：斜方肌,"Stand with feet shoulder width apart on the floor. Hold the bar in front of your thighs with palms facing backward and arms extended.
","1. ﻿﻿Exhale and and shrug your shoulders as high as possible with straight arms.
2. ﻿﻿Hold for a few seconds at the top position.
Lower the barbell to the starting position and repeat.","1. Place your hands closer or wider to better exercise different muscles.
2. Keep a straight back and braced core during the exercise."
瞬發抓舉 -槓鈴,槓鈴,全身,Squat down with feet shoulder width apart and hold the barbell with hands wider than shoulder width apart in an overhand grip.,"1. Shrug your shoulders to lift the barbell with your arms straight.
2.  Once the bar passes your mid-thigh, jump slightly and drop your body under the bar while lifting the barbell overhead with palms facing forward.
3.  As you lift the barbell, slightly bend your knees.
4.  Brace you core and drive through your feet to stand up straight.
5.  Lower the barbell to the starting position slowly and repeat.","1. To add difficulty, add weights gradually.
2. Keep your knees and elbows slightly bent during the exercise.
3. Keep a straight back and braced core during the exercise."
瞬發上搏 -槓鈴,槓鈴,全身,Squat down with feet shoulder width apart and hold the barbell with hands shoulder width apart in an overhand grip.,"1. Drive your hips up and straighten your legs to pull the barbell up.
2.  Once the bar passes your mid-thigh, jump slightly and drop your body under the bar with your elbows facing forward and palms facing up.
3.  As you receive the bar, slightly bend your knees.
4.  Straighten your knees and hips to stand up straight.
5.  Lower the barbell to the starting position slowly and repeat.","1. To add difficulty, add weights gradually.
2. Keep your knees and elbows slightly bent during the exercise.
3. Keep a straight back and braced core during the exercise."
深蹲跳 -槓鈴,槓鈴,"腿部：股四頭肌, 腿部：臀肌","Stand with feet shoulder width apart. Place a barbell behind across your shoulders. Hold the bar with your palms wide apart and facing forward.
","1. ﻿﻿Squat down by bending at the hips and knees until the thighs are parallel to the foor.
2. ﻿﻿Drive through heels, knees and hips to jump upward as high as possible.
3. ﻿﻿Land on the floor and bend your knees to the starting position and repeat.","1. ﻿﻿To avoid joint injuries, keep your tiptoes be in the same direction with your knees.
2. ﻿﻿Do not let your knees go over your toes.
3. ﻿﻿Keep a straight back and braced core during the exercise."
深蹲 -槓鈴,槓鈴,"腿部：股四頭肌, 腿部：臀肌","
Stand with feet shoulder width apart. Hold the bar on the back of your shoulders with hands slightly wider than shoulder width apart and palms facing forward.
","1. Inhale and squat down until your thighs are parallel to the floor.         2. Hold for a few seconds to feel the contraction.
Exhale, drive through the heels and midfoot to the starting position slowly and repeat.","1. Keep the tiptoes in the same direction as your knees.
2. Do not let your knees go over your toes.
3. Do not lock out your knees at the top.
4. Keep your glutes, quadriceps and hamstrings engaged.
5. Make a vertical movement with the barbell, do not tilt the arms."
上舉 (窄距)  -槓鈴,槓鈴,肩膀,"Stand with feet shoulder width apart. Hold the barbell in front of your shoulders in a narrow overhand grip with elbows pointing slightly forward.
","1. Exhale and squeeze your shoulders to lift the bar vertically until your arms are straight overhead.
2. Pause for a few seconds, inhale, return to the starting position slowly and repeat.","1. ﻿﻿Do not lock out your elbows at the top.
2. ﻿﻿Do not rest the barbell on your shoulders.
3. ﻿﻿Keep your knees slightly bent throughout the movement.
4. ﻿﻿Keep a straight back and braced core during the exercise."
上舉 (寬距)  -槓鈴,槓鈴,肩膀,"Stand with feet shoulder width apart. Hold the barbell in front of your shoulders in a wide overhand grip.
","1. Exhale and squeeze your shoulders to lift the bar vertically until your arms are straight overhead.
2. Pause for a few seconds, inhale, return to the starting position slowly and repeat.","1. ﻿﻿Do not lock out your elbows at the top.
2. ﻿﻿Keep your knees slightly bent throughout the movement.
3. ﻿﻿Keep a straight back and braced core during the exercise."
上舉 -槓鈴,槓鈴,肩膀,"Stand with feet shoulder width apart. Hold the barbell in front of your shoulders with hands slightly wider than shoulder width apart and palms facing forward.
","1. ﻿﻿Exhale and squeeze your shoulders to lift the bar vertically until your arms are straight overhead.
2. ﻿﻿Pause for a few seconds, inhale, return to the starting position slowly and repeat.","1. ﻿﻿Do not lock out your elbows at the top.
2. ﻿﻿Do not rest the barbell on your shoulders.
3. ﻿﻿Keep your knees slightly bent throughout the movement.
4. ﻿﻿Keep a straight back and braced core during the exercise."
上斜板凳臥推 (窄距)  -槓鈴,槓鈴,"手臂：肱三頭肌, 胸部","Lie on a bench and hold the barbell above your chest in a close overhand grip with arms bent.
","1.  Exhale and squeeze your chest to push the bar up to extend your arms straight.
2. Inhale and slowly lower your bar to the starting position and repeat.","1. ﻿﻿Do not lock out your elbows at the top.
2. ﻿﻿Keep a straight back and braced core during the exercise."
上斜板凳臥推 -槓鈴,槓鈴,胸部,"Lie on a bench with feet on the floor. Hold the barbell above your chest with elbows bent at 90 degrees and palms facing forward.
","1.  Exhale and squeeze your chest to push the bar up to extend your arms straight.
2. Inhale and slowly lower your bar to just above your chest and repeat.","1. Do not lock out your elbows at the top.
2. Keep a straight back and braced core during the exercise."
上斜划船 -槓鈴,槓鈴,"背部：斜方肌, 背部：背部","Lie prone on the bench with toes planted on the floor. Hold the barbell in an overhand grip with arms hang straight down at your sides.
","1. Exhale and squeeze your lats muscle to lift the barbell towards your rib cage.
2. Hold for a few seconds, inhale, lower the barbell to the starting position slowly and repeat.","1. Keep your head in line with your body.
2.Keep a straight back and braced core during the exercise."
上拉 -槓鈴,槓鈴,胸部,"Lie on a bench with feet on the floor. Hold the barbell using a shoulder width overhand grip and press it over your chest with arms stretched.
","1. ﻿﻿Inhale to lower your arms behind your head until your arms are in line with your torso.
2. ﻿﻿Stretch out your chest and pause for a few seconds.
3. ﻿﻿Exhale to pull the barbell in arc over your head until your arms are vertical to your body.
4. ﻿﻿Repeat slowly.","1. Do not lock out your elbows at the top.
2. Keep a straight back and braced core during the exercise."
曲臂上拉 -槓鈴,槓鈴,"手臂：肱三頭肌, 背部：背部","Lie on a bench with feet on the floor. Hold the barbell using a shoulder width overhand grip and press it over your chest with arms stretched.
","1. ﻿﻿Inhale to bend your elbows and lower your arms in an arc behind your head.
2. ﻿﻿Stretch out your chest and pause for a few seconds.
3. ﻿﻿Exhale to pull the barbell in arc over your head until your arms are vertical to your body.
4. ﻿﻿Repeat slowly.","1.  Do not lock out your elbows at the top.
2. Keep a straight back and braced core during the exercise."
屈體划船 (反握)  -槓鈴,槓鈴,"背部：斜方肌, 背部：背部","Stand with feet shoulder width apart and bend over. Extend your arms and hold a barbell with an underhand grip at the middle of your shins.
","1. ﻿﻿Exhale and squeeze your lats muscle to lift the barbell up towards your rib cage.
2. ﻿﻿Pause for a few seconds, inhale, slowly lower the barbell to the starting position and repeat.","1.  Keep your knees slightly bent throughout the movement.
2. Keep a straight back and braced core during the exercise."
屈體划船 -槓鈴,槓鈴,"背部：斜方肌, 背部：背部","Stand with feet shoulder width apart and bend over. Extend your arms and hold a barbell with an overhand grip at the middle of your shins.
","1. ﻿﻿Exhale and squeeze your lats muscle to lift the barbell up towards your rib cage.
2. ﻿﻿Pause for a few seconds, inhale, slowly lower the barbell to the starting position and repeat.","1.  Keep your knees slightly bent throughout the movement.
2. Keep a straight back and braced core during the exercise."
屈膝弓箭步 -槓鈴,槓鈴,"腿部：股四頭肌, 腿部：臀肌","Stand with feet shoulder width apart. Hold a barbell on the back of your shoulders in a wide grip with palms facing forward.
","1. Take a big step back with one leg, crossing it behind the opposite leg.
2. Inhale and bend your knees and lower your hips until the front thigh is nearly parallel to the floor.
3. ﻿﻿Exhale and push up through your heels to straighten your front leg and return the foot behind to the starting position.
4. ﻿﻿Complete alternating between left and right.","1. ﻿﻿Do not let your front knee go over your toes.
2. ﻿﻿Do not let your back knee touch the floor.
3. ﻿﻿Keep your torso upright and your hips and shoulders as square as possible."
前蹲 -槓鈴,槓鈴,"腿部：股四頭肌, 腿部：臀肌","Stand with feet shoulder width apart. Position the barbell across your front deltoids and hold it with your arms crossed horizontally.
","1.Inhale and squat down until your thighs are parallel to the floor.
Hold for a few seconds to feel the contraction.
Exhale, drive through the heels and midfoot to the starting position slowly and repeat.","1. Keep the tiptoes in the same direction as your knees.
2. ﻿﻿Do not let your knees go over your toes.
3. ﻿﻿Do not lock out your knees at the top.
4. ﻿﻿Keep your glutes, quadriceps and hamstrings engaged."
前抱式負重行走 -槓鈴,槓鈴,全身,"Place the bar in front of your chest with arms crossed. Brace your trunk and stand up tall.
","1. Start walking and hold the bar steadily.
2. Drop your bar slowly at the end of your track.
3. Repeat for reps.","1. ﻿﻿Do not hold the bar in your hands.
2. ﻿﻿To add difficulty, increase the distance of walk gradually."
前平舉 -槓鈴,槓鈴,肩膀,"Stand with feet shoulder width apart and hold the barbell in front of your thighs in an overhand grip with hands shoulder width apart.
","1. Exhale and lift the bar forward to the height of your shoulders.
2. Pause for a few seconds, inhale and return to the starting position slowly and repeat.","1. ﻿﻿Keep your arms straight and elbows slightly bent during the exercise.
2. ﻿﻿Keep a straight back and braced core during the exercise."
羅馬尼亞硬舉 -槓鈴,槓鈴,"背部：下背部, 腿部：腿後肌群, 腿部：臀肌",Stand with feet shoulder width apart. Bend at hips and hold the barbell off the floor outside of your thighs with an overhand grip. Slightly bend your knees.,"1.  Exhale and squeeze your glutes and tighten your lats to lift the barbell until standing up straight.
2. Rotate your shoulders back until feeling slightly stretched.
3. Pause for a few seconds, inhale and return to the starting position slowly and repeat.
","1. ﻿﻿Position your hips between the level of shoulders and knees at the starting position.
2. ﻿﻿Move the bar vertically.
3. ﻿﻿Brace the abs to support your straight back throughout the movement.
4. ﻿﻿Do not pull upward using your arms or shoulders.
5. ﻿﻿Do not thrust your hips forward at the top position.
6. Do not let the bar touch the floor during the exercise."
寬距彎舉 -槓鈴,槓鈴,手臂：肱二頭肌,"Stand with feet shoulder width apart. Hold the barbell in a wide underhand grip, resting it against your thighs.
","1. Exhale and curl your forearms towards your chest.
2.  Squeeze your biceps when the bar touches your chest and hold for a few seconds.
3. Return to the starting position and repeat.","1. ﻿﻿Keep your elbows tucked to your sides.
2. ﻿﻿Keep a straight back and braced core during the exercise.
3. ﻿﻿Keep your knees slightly bent throughout the movement."
集中推舉 -槓鈴,槓鈴,手臂：肱二頭肌,"Bend at the waist with your back and legs straight and hold a barbell in an underhand grip. Rest your elbows against your inner thighs.
","1. Curl the bar up towards your shoulders.
2. Squeeze your biceps and hold for a few seconds at the top position.
Lower the bar to the starting position and repeat.",1.Keep your upper arms still during the exercise.
架上推舉 -槓鈴,槓鈴,"背部：下背部, 腿部：臀肌","Set the barbell rested just below your knees.
Bend at hips and hold the barbell in an overhand grip slightly wider than shoulder width with arms extended.
","1. Exhale and squeeze your glutes and tighten
your lats to lift the barbell until standing up straight.
2. ﻿﻿Rotate your shoulders back until feeling slightly stretched.
3. ﻿﻿Pause for a few seconds, inhale and return to the starting position slowly and repeat","1. Position your hips between the level of shoulders and knees at the starting position.
2. ﻿﻿Move the bar vertically.
3. ﻿﻿Brace the abs to support your straight back throughout the movement.
4. ﻿﻿Do not pull upward using your arms or shoulders.
5. ﻿﻿Do not thrust your hips forward at the top position."
借力推舉 -槓鈴,槓鈴,全身,"Stand with feet shoulder width apart and grip a barbell on your shoulders in an overhand grip with your elbows facing forward and palms facing up.
","1. Bend your knees slightly into a half-squat position.
2. ﻿﻿Press up through your heels and jump slightly to stand up. Drive the bar directly above your head until your arms are straight.
3. ﻿﻿Lower the bar down to your shoulders and repeat.","1. ﻿﻿Do not let your knees go over your toes when you squat.
2. ﻿﻿To add difficulty, add weights gradually.
3. ﻿﻿Keep your knees and elbows slightly bent during the exercise.
4. ﻿﻿Keep a straight back and braced core during the exercise."
火箭推 -槓鈴,槓鈴,全身,"Stand with feet shoulder width apart. Place the barbell in the front across your shoulders and grip it with palms facing upward.
","1. ﻿﻿Descend your body to a squat position.
2. ﻿﻿Drive through your heels and hips to stand up. Drive the bar directly above your head until your arms are straight.
3. ﻿﻿Return to the starting position and repeat.","1. ﻿﻿Do not let your knees go over your toes when you squat.
2. ﻿﻿To avoid injuries, hold the bar firmly as you stand up and push it.
3. ﻿﻿To add difficulty, add weights gradually.
4. ﻿﻿Keep a straight back and braced core during the exercise."
滑式彎舉 -槓鈴,槓鈴,手臂：肱二頭肌,"Stand with feet shoulder width apart. Stretch your arms and hold a barbell with a shoulder width underhand grip at the top of your thighs.
","1. ﻿﻿Push the elbows backwards and raise the bar up towards your chest.
2. ﻿﻿Return to the starting position and repeat.","1. ﻿﻿Move the bar vertically.
2. ﻿﻿Do not lock out your elbows during the exercise.
3. ﻿﻿Keep your knees slightly bent throughout the movement."
哈克深蹲 -槓鈴,槓鈴,"腿部：股四頭肌, 腿部：臀肌","Stand with feet shoulder width apart. Hold the barbell positioned behind your hips with hands shoulder width apart and palms facing backward.
","1. Inhale and squat down until your thighs are parallel to the floor.
2.Hold for a few seconds to feel the contraction.
3. Exhale, drive through the heels and midfoot to the starting position slowly and repeat.","1. ﻿﻿Keep the tiptoes in the same direction as your knees.
2. ﻿﻿Do not let your knees go over your toes.
3. ﻿﻿Do not let the bar touch the floor during the exercise.
4. ﻿﻿Keep your glutes, quadriceps and hamstrings engaged."
划船 -槓鈴,槓鈴,"背部：斜方肌, 背部：背部","Bend your knees slightly and lower your torso until horizontal. Hold the barbell with hands slightly wider than shoulder width apart in an overhand grip.
","1. ﻿﻿Squeeze your lats and shoulder blades to pull the bar vertically to your rib cage.
2. ﻿﻿Return to the starting position slowly and repeat.","1. To add difficulty, add weights gradually.
2. Keep a straight back and braced core during the exercise."
過頭深蹲 -槓鈴,槓鈴,全身,"Stand with feet shoulder width apart. Hold the barbell overhead with hands slightly wider than shoulder width apart and arms fully extended.
","1. Squat down slowly with the bar resting overhead until your thighs are horizontal.
2. Pause for a few seconds and return to the starting position slowly and repeat.","1. ﻿﻿Do not let your knees go over your toes.
2. ﻿﻿Keep the bar moving vertically.
3. ﻿﻿To add difficulty, add weights gradually.
4. ﻿﻿Keep a straight back and braced core during the exercise."
